北京联通,#genre#
收视指南,http:///udp/239.93.0.195:8012
资讯新干线,http:///udp/239.93.0.236:1283
蓉城先锋,http:///udp/239.93.0.91:2101
星空精选高清,http:///udp/239.93.1.171:5140
东方财经高清,http:///udp/239.93.1.165:5140
CGTN西班牙语,http:///udp/239.93.42.49:5140
CGTN法语,http:///udp/239.93.42.50:5140
百姓健康,http:///udp/239.93.42.35:5140
爱怀旧高清,http:///udp/239.93.42.21:5140
爱喜剧高清,http:///udp/239.93.42.9:5140
爱奇谈高清,http:///udp/239.93.42.22:5140
爱科幻高清,http:///udp/239.93.42.10:5140
爱院线高清,http:///udp/239.93.42.11:5140
